ax,ay,az,gx,gy,gz,activity
-272,15264,-6608,-7635,-5628,-7454,1
1048,14872,-7396,-6791,-4836,-6203,1
1352,13840,-7200,-7909,-2668,-5570,1
780,12236,-6412,-8003,-1362,-4627,1
-136,10512,-8116,-7379,423,-5066,1
-168,9052,-9720,-6982,2849,-5400,1
196,7504,-8224,-6126,4420,-6189,1
-1632,7392,-6484,-2109,5631,-6326,1
-3292,10872,-5860,-1241,3948,-5031,1
-3444,12400,-5080,708,-404,-2960,1
-3592,14548,-4508,2153,-5286,-3109,1
-1248,17012,-3920,1447,-6232,-5335,1
2960,18404,-3948,-1433,-1692,-4075,1
564,15248,-6364,-1364,-730,895,1
-912,14572,-8596,-1919,-495,2222,1
-2520,12956,-8468,-2214,-37,495,1
-3056,11544,-7812,-2174,-556,-1216,1
-2364,11564,-7340,-1598,-1627,-1816,1
-2104,13036,-7108,-1566,-1787,-1866,1
-2068,14044,-7320,-1704,-1806,-2577,1
-2068,14252,-7476,-2029,-986,-2306,1
-2396,14532,-7648,-2181,222,-2402,1
-3820,15424,-7368,-2018,-299,-2421,1
-4220,16784,-7632,-2253,-745,-2471,1
-3952,17216,-9440,-2475,-337,-3862,1
-3940,18468,-10788,-2106,890,-5254,1
-2960,20100,-9460,-2358,3706,-4662,1
-3676,21260,-6796,-2570,3973,-2116,1
-3164,22476,-4404,-1793,3483,1191,1
-2192,19980,-2864,-958,3906,5150,1
-1556,15916,-3164,-196,4831,9394,1
-1496,13296,-4076,1971,3931,11854,1
-1268,13140,-4596,5152,381,12654,1
-696,14088,-4320,7956,-2608,12256,1
804,15204,-5348,10007,-2092,12686,1
704,15584,-6888,10517,190,11726,1
412,14176,-7916,11859,-2383,10690,1
36,13948,-8576,13704,-2158,9509,1
648,12032,-9108,14240,-2225,7270,1
1592,12452,-8604,14495,-2479,4994,1
1860,12544,-8528,14438,-3024,3204,1
1300,11988,-9680,16066,-2943,2171,1
1732,10500,-9248,18314,-2571,4186,1
2944,10744,-9096,19165,-1007,4062,1
3060,10096,-8068,17078,1536,2482,1
3076,7728,-7728,14080,2887,1251,1
2844,6244,-7796,11107,2601,125,1
2664,5944,-9164,9179,3701,226,1
2308,5344,-9640,6702,4143,-419,1
1412,4872,-10084,4463,3270,-1595,1
1088,3776,-10528,2243,1777,-2699,1
1440,3188,-10688,115,-748,-3287,1
2592,3424,-10448,-902,-2537,-4223,1
2736,4212,-9768,-2035,-3429,-5201,1
3008,5608,-10464,-3066,-4924,-5887,1
3136,7040,-11780,-4547,-5549,-6290,1
3660,8656,-12964,-6538,-4060,-6055,1
3532,7340,-14304,-7008,-928,-6110,1
-212,7636,-17308,-4134,-3190,-7436,1
-2512,10488,-20496,77,-8668,-11204,1
3836,12232,-19548,-1364,-6905,-8077,1
5372,10584,-16108,-3074,706,-4562,1
2460,8820,-13104,-8732,5489,-5245,1
-1148,7548,-13768,-12480,4401,-6768,1
-1056,9740,-16452,-12335,401,-5522,1
1724,14676,-18940,-10796,2869,-3681,1
1212,14660,-15236,-8166,8160,-3263,1
-64,13336,-9964,-7669,8042,-3660,1
-1084,12408,-6360,-7088,5656,-3719,1
-1600,12552,-5620,-6523,625,-4511,1
-1952,11292,-6004,-6342,-2550,-5332,1
-1740,11992,-6312,-6994,-3991,-6005,1
-828,14424,-7244,-8649,-3740,-6454,1
280,15420,-8892,-8942,-2212,-5595,1
776,15028,-9728,-7106,505,-4016,1
28,14568,-10144,-6825,1714,-3846,1
-544,12212,-8196,-6232,2084,-4447,1
-1140,12536,-6728,-5515,1001,-3514,1
28,12368,-6888,-6269,2525,-3563,1
-64,12572,-7628,-6778,5655,-4365,1
-1216,11368,-8140,-7620,8178,-6205,1
-1724,11072,-6984,-7067,8916,-8295,1
-3584,11540,-6644,-4097,4865,-6707,1
